fic,label,beg_f0,mid_f0,end_f0,duration,beg_intensity,mid_intensity,end_intensity,beg_F1,mid_F1,end_F1,beg_F2,mid_F2,end_F2,beg_F3,mid_F3,end_F3,beg_F4,mid_F4,end_F4 ,
NF_Words_0001.wav,,--undefined--,--undefined--,--undefined--,290,13,28.4,36.6,1165,1364,1073,2454,2826,2987,3232,4111,4113,4264,4398,4745, 
NF_Words_0001.wav,Ã¡,194,171,145,430,70.7,66,60.9,478,361,338,834,605,484,3097,3074,3220,4123,3999,4359, 
NF_Words_0001.wav,,137,135,137,300,23.2,20.4,17,1326,1317,1028,2935,3189,2330,3976,4290,3549,4626,--undefined--,4746, 
NF_Words_0002.wav,,--undefined--,--undefined--,--undefined--,150,10.1,14.1,29.9,1321,948,1281,2274,1263,2868,3549,2826,4184,4586,3947,5023, 
NF_Words_0002.wav,a,212,183,163,260,70.2,70.3,65,921,792,805,1298,1286,1234,3148,3148,3043,3849,3804,3719, 
NF_Words_0002.wav,Ã°,--undefined--,--undefined--,--undefined--,260,29.9,29.5,35.2,1402,1179,1067,2771,2557,1836,3576,3287,3199,4453,4309,4060, 
NF_Words_0002.wav,,--undefined--,--undefined--,--undefined--,149,30.8,22,18.7,589,784,647,1273,1356,1570,2761,2862,3196,4194,3908,4114, 
NF_Words_0003.wav,,--undefined--,--undefined--,--undefined--,140,12.4,9.8,13.2,825,1415,1180,1770,2601,1767,3115,3586,3206,4251,4402,4484, 
NF_Words_0003.wav,Ã¡,208,203,199,190,72.3,73.4,72.2,677,549,394,1043,870,761,3122,3244,3357,3607,3972,3963, 
NF_Words_0003.wav,Ã°,151,150,154,90,55.6,55.4,56.4,256,1004,1732,2664,2358,3273,3912,3742,3942,5028,4918,5154, 
NF_Words_0003.wav,r,--undefined--,--undefined--,--undefined--,310,50.1,48.5,47.7,1828,1684,1655,2472,2611,2691,3439,3609,3350,4117,4430,4332, 
NF_Words_0003.wav,,--undefined--,--undefined--,--undefined--,181,14.7,12.6,18.5,1295,1476,477,2465,2912,1813,3478,4161,3203,4530,--undefined--,4012, 
